Username,Creator,Weight
democrat,movie,1
democrat,politicalnews,6
democrat,2024election,6
democrat,congress,6
democrat,gma,2
democrat,dwts,2
democrat,dancingongma,2
democrat,royals,2
democrat,bachelornation,2
democrat,redcarpet,2
democrat,family,2
democrat,shangela,2
democrat,oscars,2
democrat,dancingwiththestars,2
democrat,leftisbest,1
democrat,independentmedia,1
democrat,greenscreen,1
democrat,lefttok,1
democrat,candycrush10,2
democrat,abortion,2
democrat,ilc2023,3
democrat,equalpay,3
democrat,justtransition,3
democrat,socialjustice,3
democrat,genderequality,3
democrat,behindthescenes,3
democrat,greenjobs,3
democrat,actnow,3
democrat,womensday,3
democrat,geneva,3
democrat,wyoming,1
democrat,ranch,1
democrat,agriculture,1
democrat,cattle,1
democrat,environment,1
democrat,farmer,1
democrat,esa,1
democrat,ag,1
democrat,rancher,1
democrat,horsesoftiktok,1
democrat,yahoonews,1
democrat,tiktokpolitics,1
democrat,election2022,1
democrat,midterms2022,1
democrat,election2024,1
democrat,crt,1
democrat,guns,1
democrat,sedition,1
democrat,wnt,2
democrat,worldnewstonight,2
democrat,abcnews,4
democrat,breaking,2
democrat,animals,2
democrat,democratic,2
democrat,president,2
democrat,abcweather,2
democrat,australia,2
democrat,floods,2
democrat,indigenous,2
democrat,arthistory,2
democrat,tortoise,2
democrat,sailing,2
democrat,animalfacts,2
democrat,patriots,1
democrat,magas,1
democrat,conservatives,1
democrat,biden2024,1
democrat,dtatdm,1
democrat,showbiz,1
democrat,shocking,1
democrat,dailymail,1
democrat,crimetok,1
democrat,crime,1
democrat,truecrime,1
democrat,rundown,1
democrat,celebritynews,1
democrat,scandal,1
democrat,solareclipse,1
democrat,eclipse,1
democrat,earthday,1
democrat,廣場舞,1
democrat,fridgeorganization,1
democrat,friday,1
democrat,fridayfeeling,1
democrat,fridaysforfuture,1
democrat,fridayvibes,1
democrat,idahofour,1
democrat,cuomo,1
democrat,idahomurders,1
democrat,missing,1
democrat,crimetiktok,1
democrat,usmexicoborder,1
democrat,alexmurdaugh,1
democrat,border,1
democrat,powergrid,1
democrat,bryankohberger,1
democrat,animation,1
democrat,ticktok,1
democrat,aoc2024,1
democrat,comedy,1
democrat,superman,1
democrat,comedyvideo,1
democrat,single,1
democrat,virginia,1
democrat,court,1
democrat,valentinesday,1
democrat,right,1
democrat,fun,1
democrat,left,1
democrat,filter,1
democrat,catholicschool,1
democrat,brady,1
democrat,confederacy,1
democrat,istandwithukraine,1
democrat,chuckhawley,1
democrat,sticky,1
democrat,catsfindyou,1
democrat,hope,1
democrat,mycat,1
democrat,bekind,1
democrat,bebrave,1
democrat,happiness,1
democrat,catsoftiktok,1
democrat,cats,1
democrat,prowoman,1
democrat,womanist,1
democrat,womanism,1
democrat,prowomen,1
democrat,feminist,1
democrat,lamujermorena,1
democrat,feminism,1
democrat,married,1
democrat,protectwomen,1
democrat,date,1
democrat,troupcounty,1
democrat,lagrangega,1
democrat,columbusga,1
democrat,veteran,1
democrat,georgia,1
democrat,atlanta,1
democrat,usa,1
democrat,davetheviking,1
democrat,heathensagainsthate,1
democrat,vikingsagainstracism,1
democrat,viking,1
democrat,norsetok,1
democrat,norse,1
democrat,vikings,1
democrat,thevillainsguild,1
democrat,endwhitesupremacy,1
democrat,vinlandapparel,1
democrat,tinhattrumparmy,1
democrat,magaga,1
democrat,magacult,1
democrat,republikkkans,1
democrat,fascistgop,1
democrat,lgbtqia,1
politicaltiktok,trendingvideo,2
politicaltiktok,world,2
politicaltiktok,weather,3
politicaltiktok,extremeweather,2
politicaltiktok,tiktoknews,2
politicaltiktok,worldnews,2
politicaltiktok,climate,2
politicaltiktok,uk,2
politicaltiktok,europe,2
politicaltiktok,climatechange,2
politicaltiktok,cult45,3
politicaltiktok,republicans,3
politicaltiktok,voteblue,2
politicaltiktok,donaldtrump,3
politicaltiktok,tennessee,2
politicaltiktok,nashville,2
politicaltiktok,fauxnews,2
politicaltiktok,trumpisacriminal,2
politicaltiktok,lockhimup,2
politicaltiktok,govotetn,2
politicaltiktok,nowthis,3
politicaltiktok,nowthisnews,3
politicaltiktok,celebrity,3
politicaltiktok,celebs,3
politicaltiktok,feelgood,3
politicaltiktok,entertainment,3
politicaltiktok,politics,11
politicaltiktok,writersstrike,3
politicaltiktok,wga,3
politicaltiktok,sagaftra,3
politicaltiktok,transportforlondon,1
politicaltiktok,tfl,1
politicaltiktok,london,1
politicaltiktok,londontransport,1
politicaltiktok,santandercycles,1
politicaltiktok,londonbus,1
politicaltiktok,placestovisit,1
politicaltiktok,londonunderground,1
politicaltiktok,thingstodoinlondon,1
politicaltiktok,elizabethline,1
politicaltiktok,tiktokfashion,1
politicaltiktok,fashionforyou,1
politicaltiktok,runway,1
politicaltiktok,parisfashionweek,1
politicaltiktok,milanfashionweek,1
politicaltiktok,fashionweek,1
politicaltiktok,aw23,1
politicaltiktok,pfw,1
politicaltiktok,fashiontiktok,1
politicaltiktok,archive,1
politicaltiktok,gopfascist,1
politicaltiktok,cometogether,1
politicaltiktok,humanrights,1
politicaltiktok,trump,2
politicaltiktok,june1,1
politicaltiktok,lgbtqiarightsarehumanrights,1
politicaltiktok,powerfulwomen,1
politicaltiktok,laurenboebertissodumb,1
politicaltiktok,tuckercarlsonsucks,1
politicaltiktok,texasdemocrats,1
politicaltiktok,leftisbest,1
politicaltiktok,leftist,5
politicaltiktok,independentmedia,1
politicaltiktok,liberal,5
politicaltiktok,conservative,4
politicaltiktok,democrat,5
politicaltiktok,republican,6
politicaltiktok,greenscreen,1
politicaltiktok,lefttok,1
politicaltiktok,leftisttiktok,2
politicaltiktok,politicaltiktok,5
politicaltiktok,maga,2
politicaltiktok,candycrush10,2
politicaltiktok,abortion,2
politicaltiktok,ukpolitics,1
politicaltiktok,tory,1
politicaltiktok,labour,1
politicaltiktok,worker,1
politicaltiktok,borisjohnson,1
politicaltiktok,refugees,1
politicaltiktok,brexit,1
politicaltiktok,strike,1
politicaltiktok,politicaltok,1
politicaltiktok,wisconsinpolitics,1
politicaltiktok,wisconsin,1
politicaltiktok,ronjohnson,1
politicaltiktok,midterms,1
politicaltiktok,mandelabarnes,1
politicaltiktok,wisconsinsenate,1
politicaltiktok,tonyevers,1
politicaltiktok,liberalsoftiktok,1
politicaltiktok,democratsoftiktok,1
politicaltiktok,political,3
politicaltiktok,lgbtrightsarehumanrights,1
politicaltiktok,equalityforall,1
politicaltiktok,donaldjtrump,1
politicaltiktok,desantis,1
politicaltiktok,biden,3
politicaltiktok,crt,1
politicaltiktok,guns,1
politicaltiktok,sedition,1
politicaltiktok,wnt,1
politicaltiktok,worldnewstonight,1
politicaltiktok,abcnews,2
politicaltiktok,ukraine,1
politicaltiktok,breaking,1
politicaltiktok,animals,1
politicaltiktok,democratic,1
politicaltiktok,president,1
politicaltiktok,abcweather,1
politicaltiktok,australia,1
politicaltiktok,floods,1
politicaltiktok,indigenous,1
politicaltiktok,arthistory,1
politicaltiktok,tortoise,1
politicaltiktok,sailing,1
politicaltiktok,animalfacts,1
politicaltiktok,idahofour,1
politicaltiktok,cuomo,1
politicaltiktok,idahomurders,1
politicaltiktok,missing,1
politicaltiktok,crimetiktok,1
politicaltiktok,usmexicoborder,1
politicaltiktok,alexmurdaugh,1
politicaltiktok,border,1
politicaltiktok,powergrid,1
politicaltiktok,bryankohberger,1
politicaltiktok,politicalnews,1
politicaltiktok,2024election,1
politicaltiktok,joebiden,1
politicaltiktok,congress,1
politicaltiktok,makeitmakesense,1
politicaltiktok,gophypocrisy,1
politicaltiktok,marjorietaylorgreene,1
politicaltiktok,traitor,1
politicaltiktok,wtf,1
politicaltiktok,marjorietaylorgreeneiscrazyaf,1
politicaltiktok,ilc2023,2
politicaltiktok,equalpay,2
politicaltiktok,justtransition,2
politicaltiktok,socialjustice,2
politicaltiktok,genderequality,2
politicaltiktok,behindthescenes,2
politicaltiktok,greenjobs,2
politicaltiktok,actnow,2
politicaltiktok,womensday,2
politicaltiktok,geneva,2
politicaltiktok,tinhattrumparmy,1
politicaltiktok,democrats,1
politicaltiktok,magaga,1
politicaltiktok,magacult,1
politicaltiktok,republikkkans,1
politicaltiktok,fascistgop,1
politicaltiktok,lgbtqia,1
politik,politicalnews,1
politik,political,1
politik,politicaltiktok,1
politik,politics,1
politik,donaldtrump,1
politik,2024election,1
politik,joebiden,1
politik,congress,1
politik,republican,1
politik,biden,1
politics,newsroundup,3
politics,roundup,3
politics,worldnews,4
politics,thisweek,3
politics,russia,3
politics,ukrainewar,3
politics,climatecrisis,4
politics,pakistan,3
politics,climatechange,5
politics,zelenskyy,3
politics,political,4
politics,politicaltiktok,6
