username,video_id,creator,favourites
i_d,7282031822320438561,tualyz80,55588
i_d,7178123165229419818,rihanna,317239
i_d,7198597386963406086,victoriabeckham,1577
i_d,7279972535951772970,marcjacobs,17497
i_d,7170752522154495237,jackgrealish,2170
i_d,7154402455495789829,sisireid,3
i_d,7190401297139567877,ariesarise,12
dcopperman,7167724258662141227,natalielimsuarez,0
healthyholistichomes,7363104093943942443,santacruzmedicinals,7413
healthyholistichomes,7360751180550737198,mindvalleymindset,19
healthyholistichomes,7188976741229006085,miriamgubovicova,116
healthyholistichomes,7266113489259744544,guildworld,11
healthyholistichomes,7347686809335352618,mindvalley.daily,17
healthyholistichomes,7351556797527772458,holisticgrenade,6514
healthyholistichomes,7191552662507179269,miriamgubovicova,9132
healthyholistichomes,7348802025297055022,mindvalley.daily,6804
healthyholistichomes,7187491199501094149,miriamgubovicova,21
healthyholistichomes,7347066042507693354,amy_the_sprout,7316
maxlamanna,7231959989580107035,bakinghermann,10210
maxlamanna,7200062077652700422,mattadlard,251
thatcurlytopp,7474674660597189930,dgibbsofficial,3469
thatcurlytopp,7454305000894795051,justrachelv,18122
thatcurlytopp,7475490481464462638,its.rachel.rose,24887
thatcurlytopp,7473684294314020126,umjustsara,71279
thatcurlytopp,7473327834778438920,nataliegiannekas,9079
thatcurlytopp,7475828783346715950,kayla.nocrumbs,3
thatcurlytopp,7475379779412266248,hoveringquietly,38549
thatcurlytopp,7471380604563606815,nataliejoyjewelry,948
thatcurlytopp,7473654307640921375,samaraphonic,9930
thatcurlytopp,7473288258479312170,hellokalliemarie,34770
thatcurlytopp,7473235706148801838,sustainablebaddie,5
thatcurlytopp,7475242008722836744,graaace.ann,19321
thatcurlytopp,7471759017216560430,juicedkitchens,18510
thatcurlytopp,7475402684950990123,xiaolongbby,29
thatcurlytopp,7474362292608453910,sarajthelegend,27235
thatcurlytopp,7473313650560732446,natty.braps,35099
thatcurlytopp,7472835379713051950,davidrosslawn,204
thatcurlytopp,7473169378486357291,bentonmcclintock,16302
thatcurlytopp,7473901602856832298,juanmarcelandrhylan,26772
zainab.slow.fashion,7458399185130278177,ahista.stories,4
zainab.slow.fashion,7467615292974189856,ahista.stories,1
zainab.slow.fashion,7470010444216847662,thedownballot_on_insta,6756
zainab.slow.fashion,7421574761085521194,airospvce,774
zainab.slow.fashion,7450094798243007790,perimacinic,4287
zainab.slow.fashion,7455288791767518497,ahista.stories,0
zainab.slow.fashion,7438985718254472494,elysiaberman,346
zainab.slow.fashion,7465339667169201440,ahista.stories,0
zainab.slow.fashion,7457454318078250272,ahista.stories,2
zainab.slow.fashion,7444685830955945262,siececampbell,13067
zainab.slow.fashion,7455640040501234976,ahista.stories,1
zainab.slow.fashion,7453387178312224043,zachary.rants,1991
zainab.slow.fashion,7462405269444709664,ahista.stories,2
zainab.slow.fashion,7472033562552798494,aaimen1,1183
zainab.slow.fashion,7462423450611666222,zachary.rants,11458
zainab.slow.fashion,7468633373850864928,ahista.stories,1
zainab.slow.fashion,7470144798679223584,dgkstn,366
zainab.slow.fashion,7454605006684163360,ahista.stories,1
zainab.slow.fashion,7454942139986791713,ahista.stories,0
tedtoks,7407142332337753387,givingtuesday,4
tedtoks,7465657808243985696,internationalpeaceday,0
tedtoks,7429405958272503086,whoelise,1
tedtoks,7395243093005471019,envdefensefund,2
tedtoks,7358649737509080366,joelbervell,50
tedtoks,7428637421580848415,alisonfragale,0
tedtoks,7433621198392544555,ashlyevwilkersonphd,1
tedtoks,7468393932947442990,thedogist,61
tedtoks,7405509139671076129,actionhappiness,2
tedtoks,7429821496928832811,theninthsemester,4
tedtoks,7413726408599489835,givedirectly,1
tedtoks,7428753175684943147,theninthsemester,5
tedtoks,7359074839660891398,itssoniasidhu,4
tedtoks,7431315565056150826,theninthsemester,5
tedtoks,7428388149446872363,whoelise,1
bbcnews,7152873034724986118,bbcnewsround,4880
andreacheong_,7308742747685522720,minazhao,595
andreacheong_,7424987132281785632,oggyboysming,9028
andreacheong_,7280556871319080225,minazhao,79
